Data Source,World Development Indicators,...3
Turkiye,TUR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,377.335174309487,372.599619536747,396.231640391391,405.161597965765,416.042578224467,426.98395620744,457.205406093592,461.603396915416,473.216841432962,486.798759822279,497.083625091826,520.907237210887,574.354438398884,619.251415977912,626.790881147322,651.748590350952,694.911482543764,746.528313061106,728.638974372181,679.579722765647,692.582156129817,684.512379755356,712.160868783158,736.45724301877,748.625798701333,775.756935465749,818.025406732449,888.881771459098,877.137211079891,893.149615338113,941.118021563554,911.692019315878,924.754800464451,964.218935497852,936.317629278262,1008.91597593183,1080.22799066116,1120.20406483284,1125.74057553832,1090.73572557981,1160.95972973175,1060.27667423331,1107.00727731199,1148.11179075043,1176.88807528659,1214.65544630553,1329.88427254463,1425.35886655559,1389.28566894648,1357.46823750389,1458.23315284005,1529.24270248225,1572.62101020851,1535.66771827313,1574.73585381772,1657.9258591822,"","","","","","","","","
Tuvalu,TUV,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Tanzania,TZA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",542.29600060867,528.043536334748,512.530528608702,492.699607945954,475.339224348743,462.964825192512,446.655547314232,436.043068514865,425.572871570077,417.682568247695,410.88764385293,404.473431006515,399.465196044341,394.209467017548,389.64850333706,386.148107488388,380.594013127883,375.903715533576,374.050243567306,372.772915971137,370.893737503004,366.417545488701,364.73029107153,357.296236754966,362.762423298411,360.577451607105,356.75987232793,370.030337017447,382.975183729411,392.934336898049,403.896336013283,413.549051274561,418.66042879188,432.083402038559,440.075074123178,443.325336788262,446.369891604091,449.131760208564,450.498031557147,461.641018794022,474.536310699211,489.320719732614,491.960593745781,493.209915920698,"","","","","","","","","","
Uganda,UGA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Ukraine,UKR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4841.46285752136,4836.64535142452,4195.67057900047,3716.40969880378,3183.23677637441,3168.38800423625,2927.5851499867,2825.44174544275,2693.46962174133,2702.50119426259,2699.81721932027,2730.69798503692,2785.72112522061,2993.69230793431,2998.144687064,3002.56178576541,2904.81211261885,2960.97597087194,2875.78612822631,2456.60794499694,2850.62109196092,2732.9430064486,2651.19490441648,2517.84915787513,2298.8402819258,"","","","","","","","","","
Upper middle income,UMC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",533.799607180423,547.725281324977,566.174704018246,576.288324651167,608.751002147239,624.996178908108,660.592941298326,695.591409418137,708.612762172925,710.743598213142,706.459766935562,721.851646320261,721.693832344164,751.369203259286,761.097709921615,776.266783973335,798.317840459955,817.398178701616,826.234603100656,1035.38283387984,1018.92518233164,1002.82268926543,1010.09262546147,1013.36726505158,1047.24517304852,1054.37278309722,1060.82140422418,1047.12276509503,1053.85864087136,1071.66300948546,1091.67585242034,1129.66212636451,1219.38450960782,1324.19109264095,1404.23660648065,1481.75382753857,1559.18898083431,1595.80735429385,1633.59857292024,1752.55528204287,1822.28768749219,1868.41227307555,1907.39124901775,1923.80077724578,"","","","","","","","","","
Uruguay,URY,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",861.165054078765,872.922310539529,841.241492732276,823.640898349792,851.285023952763,858.144796693081,853.15871221508,868.837190225295,923.486591224268,895.443796022498,859.71701303233,760.68159484213,701.20530865792,670.611839247984,662.178156913555,679.672386818317,718.464170581554,765.633265872676,781.009346278904,725.148442389728,781.836396513656,859.251292001598,797.635556315929,757.959603307327,806.410216213504,884.25935744485,893.65705501583,915.283951989331,994.52522499128,946.630126819925,828.15123214439,774.073483309936,768.9225786042,873.865875068684,899.988769759061,967.522783056179,960.666773287917,1257.69969326296,1247.72702623583,1231.56139071531,1328.08789160837,1390.32907887238,1375.73225059239,1404.23152165428,"","","","","","","","","","
United States,USA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5641.74075529554,5612.07950307854,5774.58631485274,5986.78395387916,6136.93822991417,6307.89020241581,6591.34055759056,6809.82048391642,7073.47894930894,7332.36854699843,7569.07659520512,7644.52480244244,7940.99783225979,8163.60379219382,7909.58647956082,7656.2635792437,8100.56222166166,8285.57089797901,8438.40307747602,8327.04170536091,7942.25301793377,7647.53805356785,7259.07889874991,7199.11853271284,7443.32001696173,7456.26290328004,7376.09623833459,7622.17301652159,7849.75397036389,7890.28720236287,7671.7730657832,7631.46780588265,7677.40140109312,7709.49658932206,7757.83082249569,7763.75510556636,7844.46826581141,7828.58109639584,7803.69760452993,7923.22389263188,8056.86384994775,7827.88632537183,7843.34484914192,7794.23553026383,7881.57864206405,7846.49968849973,7697.65253500041,7758.16598577052,7488.08192070473,7056.78365282718,7161.42655156518,7029.95460147645,6872.02728367462,6905.59863316056,6960.68399657951,6803.99660728499,"","","","","","","","","
Uzbekistan,UZB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2265.74296079601,2293.62979662652,2106.95040141791,2141.69757942474,2074.15445047656,1865.18682222637,1892.87302863085,1892.26123534027,2070.34949222349,2096.37629633068,2052.20858436828,2039.93689509202,2098.67901470789,2004.50833621177,1951.68146726676,1786.43349625668,1801.61258963477,1764.25616361171,1810.58109442907,1582.19456817286,1522.24917181325,1642.71234876243,1654.47148122937,1444.26914690168,"","","","","","","","","","","
St. Vincent and the Grenadines,VCT,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",263.244571244589,"","","","","","","","","","","","","",584.924890326583,595.820364606492,624.921884764404,627.628193058432,"","","","","","","","","","","","","","","","","
"Venezuela, RB",VEN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1520.22458378361,1427.0738182257,1529.75876751519,1756.50802225821,1743.16383638728,1755.95408709681,1825.45114477156,1914.34299315987,1927.14245768932,2140.82909288621,2232.18856632854,2163.83213266646,2270.35373611183,2157.4215433021,2080.99964756617,2121.06813075277,2068.61563135517,1947.23539056182,1950.6117679637,1996.64598948606,2036.39038584586,2225.64961906454,2026.59109685846,2298.15180425596,2110.45723041562,2203.00556263222,2148.67140028926,2217.39874313053,2073.13174739773,2090.47904023646,2124.08565567178,2264.11243485576,2045.36065624358,2141.89055033101,2102.03770624171,2304.01849262835,2098.33955306674,2312.92946212863,2286.4319798604,2512.06647281735,2302.45886170023,2472.16055883932,2298.8138818819,"","","","","","","","","","","
British Virgin Islands,VGB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Virgin Islands (U.S.),VIR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Viet Nam,VNM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",311.48611344985,307.28048946275,314.259956814546,288.175417827508,299.19148982584,261.781106488337,264.931506715001,264.796251317823,267.897844866572,274.181907175221,271.210275026075,274.49302269576,276.674923804874,273.342263994529,270.340904977262,277.201264260681,287.426862255012,284.301500234838,272.244317878893,272.745060526481,270.713940540522,276.898515751541,294.711692448339,289.644222614234,303.750898335238,315.928355569264,335.531844800878,352.47715593935,358.039668175049,372.450487376476,393.045917100693,424.532561122052,441.290287161707,485.041363051563,508.726121851863,514.449018939842,543.860534146804,570.996443261552,613.731435956907,673.624453822915,665.577169245025,669.497907035472,661.649102806502,"","","","","","","","","","","
Vanuatu,VUT,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",157.460297305877,"","","","","","","","","","","","","",145.835662652945,142.342000379579,143.56969845732,158.173502774815,"","","","","","","","","","","","","","","","","
World,WLD,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1338.76118455944,1373.80549006073,1419.69946215926,1392.03407722251,1366.92698857492,1421.2691066025,1444.97571935688,1475.95739266762,1492.46590117451,1453.51527323598,1412.27669439112,1381.13739481232,1371.41997399126,1402.5713733862,1412.38909872926,1414.08083867563,1439.97962559656,1464.79790819606,1470.71728411526,1657.26725553058,1642.87173645529,1615.51682331356,1607.75378522703,1593.64539558437,1607.99819223755,1624.51567143132,1617.08099107381,1601.1971639729,1612.61658964617,1624.79385535013,1623.02850794705,1635.07479020597,1673.4730985313,1723.59039804743,1750.07443227334,1778.8553296596,1805.36806594778,1810.42942446483,1776.80387668427,1854.11075945925,1860.21869246969,1869.42448323024,1871.25149656337,1897.28005568735,"","","","","","","","","","
Samoa,WSM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",255.773358100354,"","","","","","","","","","","","","",300.672755289961,304.848698777396,303.661518627237,307.27988429323,"","","","","","","","","","","","","","","","","
Kosovo,XKX,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",856.943688546918,1044.87065723301,1035.03652986506,1091.49742065686,1099.83250794257,1070.06721463477,1084.46350103884,1131.46798118969,1230.09754239368,1356.38701251086,1394.78002150113,1410.72541685059,1310.3856620955,1296.69455079673,1219.31522053323,"","","","","","","","","","
"Yemen, Rep.",YEM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",101.316410612966,77.2826735627611,126.504471121088,101.217546436315,84.9529322693352,100.298266495215,105.321880034994,107.752280659146,106.050566586089,133.269966399668,126.895675345631,144.141015052623,147.339655165434,148.939962162593,151.677540035752,158.125676411473,180.359326727627,184.830246534369,182.420402488025,180.981349037022,211.975425706128,222.88157292034,185.806218153094,186.96578834783,204.140033445523,201.532220227403,207.425102115169,214.748791513917,234.960918409494,241.884880464322,260.297376460282,244.778399282825,264.089434661832,279.913114030774,289.045784603261,299.541780488137,283.789856453317,289.798626079919,311.456454874327,292.750643100139,239.806065330991,210.390457474555,281.977025036578,"","","","","","","","","","","
South Africa,ZAF,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1980.15242080916,1956.6183566449,2024.50356283704,2040.85588008984,2100.797752048,2115.33506721802,2101.58866021076,2160.68077558745,2171.73434305498,2214.93603224542,2354.93803027821,2473.99203911747,2432.60791371741,2549.42505762583,2465.60829000711,2486.94066405633,2497.93536388257,2521.0320127397,2344.30809081578,2232.25508652719,2278.37743222266,2087.15198359306,2192.70635235257,2230.89012149516,2324.65079687161,2344.91473952385,2379.61991149902,2335.58281996232,2338.19267505786,2312.17166497536,2357.78120453762,2291.36700228439,2425.84859391112,2622.04868480953,2591.4464433677,2546.55539429889,2698.22665127525,2873.09480800192,2783.09277227284,2708.4912667535,2665.85690158195,2590.115585223,2555.6398458042,2644.56500439843,"","","","","","","","","","
Zambia,ZMB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",812.665770029431,841.1177707614,864.003667685728,873.860615444213,802.764922287912,865.367754297274,826.136826541543,807.615361730048,788.646220129949,796.817175334875,784.453500407552,777.910403216761,766.252763265162,752.50475268559,743.749588000389,733.447544547168,727.205663746742,744.307198597296,723.886103650232,699.871014872654,701.551057738688,695.166497894011,679.497812315163,668.071045812579,663.345460149562,641.752886172483,652.401418069791,641.813239843719,625.918877865053,623.892115810614,624.515299241612,626.206417780551,627.250822704224,625.150398678873,624.954954931892,617.336434409413,596.142644478728,595.226875546603,588.548484406195,588.842479596643,601.613778169466,611.374803543792,625.188900290064,"","","","","","","","","","","
Zimbabwe,ZWE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1012.0209231676,999.721603010946,1025.71671511313,1006.01726918343,970.163108014911,993.452789479419,940.407429275269,920.975155018472,923.396357999842,922.066981068703,878.09594679565,851.007426926147,839.873263917187,824.613227117765,852.512192906651,871.779571521672,920.91543843792,903.411048665494,897.299569641467,917.135965748607,947.18561097092,950.847543143319,896.467294421658,888.98560012243,896.719688801386,878.243218537491,853.334267970832,856.284861427994,898.525373451494,841.616608735832,833.751882846342,811.271799413832,766.682910515035,740.99030106674,770.314766003452,779.15719175765,753.664189899796,691.898518953675,695.203073320048,708.187998875158,754.054011114328,782.323230751561,805.339134088322,"","","","","","","","","","","
